Dates,value,,,,,,
15-04-2021, 901.95 ,,,,,,
16-04-2021, 898.18 ,,,,,,
17-04-2021, 894.41 ,,,,,,
18-04-2021, 890.63 ,,,,,,
19-04-2021, 886.84 ,,,,,,
20-04-2021, 883.05 ,,,,,,
21-04-2021, 879.26 ,,,,,,
22-04-2021, 875.47 ,,,,,,
23-04-2021, 871.66 ,,,,,,
24-04-2021, 867.86 ,,,,,,
25-04-2021, 864.05 ,,,,,,
26-04-2021, 860.24 ,,,,,,
27-04-2021, 856.42 ,,,,,,
28-04-2021, 852.59 ,,,,,,
29-04-2021, 848.76 ,,,,,,
30-04-2021, 844.93 ,,,,,,
01-05-2021, 822.37 ,,,,,,
02-05-2021, 672.44 ,,,,,,
03-05-2021, 832.22 ,,,,,,
04-05-2021, 827.20 ,,,,,,
05-05-2021, 821.80 ,,,,,,
06-05-2021, 816.03 ,,,,,,
07-05-2021, 809.88 ,,,,,,
08-05-2021, 803.39 ,,,,,,
09-05-2021, 796.54 ,,,,,,
10-05-2021, 789.35 ,,,,,,
11-05-2021, 781.84 ,,,,,,
12-05-2021, 774.01 ,,,,,,
13-05-2021, 765.87 ,,,,,,
14-05-2021, 757.43 ,,,,,,
15-05-2021, 748.70 ,,,,,,
16-05-2021, 739.70 ,,,,,,
17-05-2021, 730.44 ,,,,,,
18-05-2021, 720.93 ,,,,,,
19-05-2021, 711.18 ,,,,,,
20-05-2021, 701.20 ,,,,,,
21-05-2021, 691.01 ,,,,,,
22-05-2021, 680.62 ,,,,,,
23-05-2021, 670.04 ,,,,,,
24-05-2021, 659.28 ,,,,,,
25-05-2021, 648.37 ,,,,,,
26-05-2021, 637.30 ,,,,,,
27-05-2021, 626.10 ,,,,,,
28-05-2021, 614.78 ,,,,,,
29-05-2021, 603.35 ,,,,,,
30-05-2021, 591.83 ,,,,,,
31-05-2021, 580.22 ,,,,,,
01-06-2021, 568.54 ,,,,,,
02-06-2021, 549.95 ,,,,,,
03-06-2021, 547.94 ,,,,,,
04-06-2021, 538.94 ,,,,,,
05-06-2021, 530.74 ,,,,,,
06-06-2021, 523.32 ,,,,,,
07-06-2021, 516.66 ,,,,,,
08-06-2021, 510.71 ,,,,,,
09-06-2021, 505.46 ,,,,,,
10-06-2021, 500.89 ,,,,,,
11-06-2021, 496.98 ,,,,,,
12-06-2021, 493.72 ,,,,,,
13-06-2021, 491.08 ,,,,,,
14-06-2021, 489.07 ,,,,,,
15-06-2021, 487.68 ,,,,,,
16-06-2021, 486.89 ,,,,,,
17-06-2021, 486.71 ,,,,,,
18-06-2021, 487.14 ,,,,,,
19-06-2021, 488.17 ,,,,,,
20-06-2021, 489.82 ,,,,,,
21-06-2021, 492.08 ,,,,,,
22-06-2021, 491.30 ,,,,,,
23-06-2021, 498.50 ,,,,,,
24-06-2021, 502.68 ,,,,,,
25-06-2021, 507.52 ,,,,,,
26-06-2021, 508.75 ,,,,,,
27-06-2021, 518.39 ,,,,,,
28-06-2021, 525.28 ,,,,,,
29-06-2021, 533.99 ,,,,,,
30-06-2021, 542.51 ,,,,,,
01-07-2021, 539.01 ,,,,,,
02-07-2021, 556.19 ,,,,,,
03-07-2021, 570.10 ,,,,,,
04-07-2021, 578.98 ,,,,,,
05-07-2021, 587.66 ,,,,,,
06-07-2021, 596.16 ,,,,,,
07-07-2021, 604.45 ,,,,,,
08-07-2021, 612.52 ,,,,,,
09-07-2021, 571.64 ,,,,,,
10-07-2021, 504.59 ,,,,,,
11-07-2021, 635.31 ,,,,,,
12-07-2021, 642.40 ,,,,,,
13-07-2021, 649.22 ,,,,,,
14-07-2021, 655.76 ,,,,,,
15-07-2021, 662.01 ,,,,,,
16-07-2021, 667.96 ,,,,,,
17-07-2021, 668.92 ,,,,,,
18-07-2021, 678.92 ,,,,,,
19-07-2021, 683.92 ,,,,,,
20-07-2021, 688.59 ,,,,,,
21-07-2021, 692.92 ,,,,,,
22-07-2021, 694.72 ,,,,,,
23-07-2021, 694.33 ,,,,,,
24-07-2021, 703.82 ,,,,,,
25-07-2021, 706.73 ,,,,,,
26-07-2021, 709.28 ,,,,,,
27-07-2021, 711.46 ,,,,,,
28-07-2021, 713.26 ,,,,,,
29-07-2021, 714.69 ,,,,,,
30-07-2021, 715.74 ,,,,,,
31-07-2021, 710.13 ,,,,,,
01-08-2021, 687.16 ,,,,,,
02-08-2021, 706.44 ,,,,,,
03-08-2021, 716.86 ,,,,,,
04-08-2021, 716.72 ,,,,,,
05-08-2021, 716.45 ,,,,,,
06-08-2021, 716.03 ,,,,,,
07-08-2021, 715.47 ,,,,,,
08-08-2021, 651.34 ,,,,,,
09-08-2021, 573.66 ,,,,,,
10-08-2021, 712.93 ,,,,,,
11-08-2021, 711.82 ,,,,,,
12-08-2021, 710.56 ,,,,,,
13-08-2021, 709.16 ,,,,,,
14-08-2021, 707.62 ,,,,,,
15-08-2021, 705.95 ,,,,,,
16-08-2021, 704.14 ,,,,,,
17-08-2021, 702.19 ,,,,,,
18-08-2021, 700.12 ,,,,,,
19-08-2021, 697.90 ,,,,,,
20-08-2021, 695.56 ,,,,,,
21-08-2021, 693.08 ,,,,,,
22-08-2021, 690.48 ,,,,,,
23-08-2021, 687.75 ,,,,,,
24-08-2021, 684.89 ,,,,,,
25-08-2021, 681.90 ,,,,,,
26-08-2021, 678.80 ,,,,,,
27-08-2021, 675.57 ,,,,,,
28-08-2021, 672.22 ,,,,,,
29-08-2021, 668.75 ,,,,,,
30-08-2021, 665.16 ,,,,,,
31-08-2021, 661.46 ,,,,,,
01-09-2021, 624.66 ,,,,,,
02-09-2021, 646.86 ,,,,,,
03-09-2021, 650.65 ,,,,,,
04-09-2021, 647.46 ,,,,,,
05-09-2021, 644.46 ,,,,,,
06-09-2021, 641.66 ,,,,,,
07-09-2021, 636.00 ,,,,,,
08-09-2021, 636.64 ,,,,,,
09-09-2021, 634.42 ,,,,,,
10-09-2021, 632.38 ,,,,,,
11-09-2021, 630.53 ,,,,,,
12-09-2021, 628.86 ,,,,,,
13-09-2021, 627.38 ,,,,,,
14-09-2021, 626.08 ,,,,,,
15-09-2021, 624.95 ,,,,,,
16-09-2021, 624.00 ,,,,,,
17-09-2021, 623.24 ,,,,,,
18-09-2021, 622.65 ,,,,,,
19-09-2021, 622.23 ,,,,,,
20-09-2021, 621.99 ,,,,,,
21-09-2021, 621.93 ,,,,,,
22-09-2021, 622.04 ,,,,,,
23-09-2021, 622.33 ,,,,,,
24-09-2021, 622.80 ,,,,,,
25-09-2021, 623.44 ,,,,,,
26-09-2021, 624.26 ,,,,,,
27-09-2021, 625.25 ,,,,,,
28-09-2021, 626.43 ,,,,,,
29-09-2021, 627.79 ,,,,,,
30-09-2021, 629.32 ,,,,,,
01-10-2021, 621.03 ,,,,,,
02-10-2021, 633.55 ,,,,,,
03-10-2021, 636.85 ,,,,,,
04-10-2021, 640.96 ,,,,,,
05-10-2021, 645.89 ,,,,,,
06-10-2021, 651.66 ,,,,,,
07-10-2021, 658.30 ,,,,,,
08-10-2021, 665.83 ,,,,,,
09-10-2021, 674.28 ,,,,,,
10-10-2021, 683.69 ,,,,,,
11-10-2021, 694.08 ,,,,,,
12-10-2021, 705.50 ,,,,,,
13-10-2021, 718.01 ,,,,,,
14-10-2021, 731.64 ,,,,,,
15-10-2021, 746.46 ,,,,,,
16-10-2021, 762.53 ,,,,,,
17-10-2021, 779.92 ,,,,,,
18-10-2021, 798.69 ,,,,,,
19-10-2021, 818.95 ,,,,,,
20-10-2021, 840.76 ,,,,,,
21-10-2021, 864.24 ,,,,,,
22-10-2021, 884.90 ,,,,,,
23-10-2021, 896.31 ,,,,,,
24-10-2021, 945.78 ,,,,,,
25-10-2021, 977.09 ,,,,,,
26-10-2021," 1,010.71 ",,,,,,
27-10-2021," 1,046.82 ",,,,,,
28-10-2021," 1,085.58 ",,,,,,
29-10-2021," 1,127.21 ",,,,,,
30-10-2021," 1,171.93 ",,,,,,
31-10-2021," 1,219.97 ",,,,,,
01-11-2021," 1,271.60 ",,,,,,
02-11-2021," 1,319.16 ",,,,,,
03-11-2021," 1,374.57 ",,,,,,
04-11-2021," 1,425.55 ",,,,,,
05-11-2021," 1,475.94 ",,,,,,
06-11-2021," 1,525.57 ",,,,,,
07-11-2021," 1,574.23 ",,,,,,
